R            ;E_CL_CCSD               ;E_CL_CCSD_A            ;E_CL_CCSD_B               ;E_CCSD               ;E_CCSD_A            ;E_CCSD_B
2.0          ;-152.484312244365       ;-76.239517900260       ;-76.239652559149          ;-152.490960206439    ;-76.240580797395    ;-76.244289874318 
2.1          ;-152.485276104782       ;-76.239648552766       ;-76.240099100199          ;-152.490656989916    ;-76.240479362023    ;-76.243902767489
2.2          ;-152.485758292438       ;-76.239754313630       ;-76.240426732204          ;-152.490146816060    ;-76.240392130893    ;-76.243580056096
2.3          ;-152.485914296605       ;-76.239836229875       ;-76.240665992497          ;-152.489522721627    ;-76.240317964614    ;-76.243307418258
2.4          ;-152.485851396211       ;-76.239897901722       ;-76.240824392159          ;-152.488840740093    ;-76.240256084994    ;-76.243063781488
2.5          ;-152.485640843345       ;-76.239943651879       ;-76.240916708384          ;-152.488135977257    ;-76.240205603434    ;-76.242830837064
2.6          ;-152.485341821677       ;-76.239976018961       ;-76.240954376606          ;-152.487432747146    ;-76.240165355555    ;-76.242598083474
2.7          ;-152.484994570398       ;-76.239998722195       ;-76.240951130615          ;-152.486748899112    ;-76.240133951211    ;-76.242362547139
2.8          ;-152.484629509119       ;-76.240014151246       ;-76.240919640875          ;-152.486096929529    ;-76.240109910899    ;-76.242125790850
2.9          ;-152.484265138843       ;-76.240024440467       ;-76.240869482611          ;-152.485484466157    ;-76.240091802500    ;-76.241891014734
3.0          ;-152.483911872104       ;-76.240031181633       ;-76.240806893142          ;-152.484915287848    ;-76.240078339181    ;-76.241661519379
3.1          ;-152.483574957905       ;-76.240035526335       ;-76.240735779921          ;-152.484390761502    ;-76.240068431014    ;-76.241440371666
3.2          ;-152.483256996146       ;-76.240038283997       ;-76.240659010422          ;-152.483911123350    ;-76.240061197034    ;-76.241230555732
3.3          ;-152.482959563026       ;-76.240040012958       ;-76.240579270422          ;-152.483476205300    ;-76.240055950325    ;-76.241035046035
3.4          ;-152.482683937345       ;-76.240041089964       ;-76.240499530909          ;-152.483085595890    ;-76.240052168854    ;-76.240856620823
3.5          ;-152.482431190971       ;-76.240041763533       ;-76.240422624680          ;-152.482738457930    ;-76.240049461918    ;-76.240697507031
3.6          ;-152.482201986446       ;-76.240042193045       ;-76.240351124529          ;-152.482433278751    ;-76.240047539322    ;-76.240559053049
3.7          ;-152.481996419330       ;-76.240042477010       ;-76.240286926833          ;-152.482167736043    ;-76.240046186110    ;-76.240441559388
3.8          ;-152.481813841128       ;-76.240042673899       ;-76.240231218314          ;-152.481938740806    ;-76.240045242893    ;-76.240344305517
3.9          ;-152.481652970833       ;-76.240042816985       ;-76.240184364375          ;-152.481742626015    ;-76.240044592137    ;-76.240265735414
4.0          ;-152.481512027367       ;-76.240042924581       ;-76.240146096554          ;-152.481575410709    ;-76.240044147378    ;-76.240203725633
4.1          ;-152.481388924688       ;-76.240043006532       ;-76.240115676255          ;-152.481433071312    ;-76.240043845654    ;-76.240155867569
4.2          ;-152.481281463091       ;-76.240043068818       ;-76.240092100810          ;-152.481311764240    ;-76.240043641911    ;-76.240119711455
4.3          ;-152.481187486261       ;-76.240043115173       ;-76.240074257397          ;-152.481207986650    ;-76.240043504511    ;-76.240092947294
4.4          ;-152.481104991543       ;-76.240043148652       ;-76.240061049541          ;-152.481118665460    ;-76.240043411626    ;-76.240073518051
4.5          ;-152.481032194502       ;-76.240043171940       ;-76.240051476624          ;-152.481041187844    ;-76.240043348438    ;-76.240059676067
4.6          ;-152.480967555579       ;-76.240043187410       ;-76.240044675828          ;-152.480973388703    ;-76.240043305129    ;-76.240049992021
4.7          ;-152.480909777381       ;-76.240043197159       ;-76.240039936640          ;-152.480913508839    ;-76.240043275115    ;-76.240043335067
4.8          ;-152.480857789117       ;-76.240043202877       ;-76.240036694520          ;-152.480860143499    ;-76.240043254163    ;-76.240038836865
4.9          ;-152.480810715604       ;-76.240043205923       ;-76.240034516175          ;-152.480812180926    ;-76.240043239410    ;-76.240035848083
5.0          ;-152.480767848007       ;-76.240043207298       ;-76.240033077997          ;-152.480768747617    ;-76.240043228993    ;-76.240033894619
5.5          ;-152.480599892863       ;-76.240043206302       ;-76.240030804100          ;-152.480599957003    ;-76.240043208475    ;-76.240030861662
6.0          ;-152.480483582185       ;-76.240043205184       ;-76.240030617033          ;-152.480483585132    ;-76.240043205501    ;-76.240030619979
6.5          ;-152.480399604633       ;-76.240043204975       ;-76.240030606485          ;-152.480399604605    ;-76.240043204953    ;-76.240030606542
7.0          ;-152.480337303238       ;-76.240043204947       ;-76.240030606216          ;-152.480337303203    ;-76.240043204978    ;-76.240030606230
7.5          ;-152.480290057419       ;-76.240043204945       ;-76.240030606089          ;-152.480290057419    ;-76.240043204891    ;-76.240030606036
8.0          ;-152.480253550039       ;-76.240043204945       ;-76.240030606075          ;-152.480253550039    ;-76.240043204976    ;-76.240030606115
8.5          ;-152.480224876520       ;-76.240043204945       ;-76.240030606079          ;-152.480224876520    ;-76.240043204853    ;-76.240030605988
9.0          ;-152.480202031103       ;-76.240043204945       ;-76.240030606079          ;-152.480202031103    ;-76.240043204899    ;-76.240030606035
9.5          ;-152.480183597064       ;-76.240043204945       ;-76.240030606075          ;-152.480183597064    ;-76.240043204940    ;-76.240030606071
10.0         ;-152.480168553585       ;-76.240043204949       ;-76.240030606079          ;-152.480168553574    ;-76.240043204949    ;-76.240030606079





























































































































































































